"KOD";"PORC_ADB";"CIS_ADB";"CP";"PPC";"PUV_ZN";"AUTOR_ADB";"INST_ADB";"ROK_ADB";"TVAR_ADB";"HROB";"KULT1";"KULT2";"KULT3";"KULT4";"KULT5";"KULT6";"POZN_ADB";"V_SYST"
"P1/PRAHA - ST/2010/337";1;0;"190";"81";"sonda W";"Havrda J.";"NPÚ Praha";"2010";"P";0;"rs.4";"vs.1";"vs.2";"novove";;;;"B"
"P1/PRAHA - ST/2010/341";1;0;;"1103";"sonda 3";"Havrda J.";"NPÚ Praha";"2010";"B";0;"novove";;;;;;;"B"
"P1/PRAHA - ST/2010/345";1;0;;"997/6";"sonda 2";"Havrda J.";"NPÚ Praha";"2010";"P";0;"novove";"vs/no";;;;;;"B"
"P1/PRAHA - ST/2010/385";1;0;;"1105";"sonda Z";"Havrda J.";"NPÚ Praha";"2010";"B";0;"rs.4";"vstred";"novove";;;;"šachta";"B"
"P1/PRAHA - ST/2010/385";2;0;;"1105";"sonda Z (štola)";"Havrda J.";"NPÚ Praha";"2010";"L";1;;;;;;;"raená štola, strop štoly na niveletì 187,16 (úroveò 188,84 a 187,16 nezkoumána)";"B"
"P1/PRAHA - ST/2010/442";1;0;"721";"703";"S01";"Havrda J.";"NPÚ Praha";"2010";"P";0;"novove";;;;;;;"B"
"P1/PRAHA - ST/2010/512";1;0;"757";"857";"sklep";"Havrda J.";"NPÚ Praha";"2010";"P";0;"novove";;;;;;"hloubka vıkopù 0,6 m , pouze recentní násypy";"B"
"P1/PRAHA - ST/2010/512";2;0;"757";"857";"dvùr";"Havrda J.";"NPÚ Praha";"2010";"P";0;"novove";;;;;;;"B"
"P1/PRAHA - ST/2010/512";3;0;"757";"862/1";"rıha";"Havrda J.";"NPÚ Praha";"2010";"L";0;"novove";;;;;;;"B"
"P1/PRAHA - ST/2010/519";1;0;;"1104";"sonda X";"Havrda J.";"NPÚ Praha";"2010";"B";0;"novove";"vstred";;;;;;"B"
"P1/PRAHA - ST/2010/519";2;0;;"1104";"sonda X - štola";"Havrda J.";"NPÚ Praha";"2010";"L";0;"rstred";;"novove";;;;"raená štola, strop štoly na niveletì 187,67 (úroveò 189,52 a 187,67 nezkoumána)";"B"
"P1/PRAHA - ST/2010/572";1;0;"190";"81";"sonda T";"Havrda J.";"NPÚ Praha";"2010";"B";0;"rs.4";"vs.1";"vstred";"novove";;;;"B"
"P1/PRAHA - ST/2010/572";2;0;"190";"81";"sonda T (rıha)";"Havrda J.";"NPÚ Praha";"2010";"L";0;"vstred";;;;;;;"B"
"P1/PRAHA - ST/2010/616";1;0;"1";"1/4";"S02";"Havrda J.";"NPÚ Praha";"2010";"B";0;;;;;;;;"B"
"P1/PRAHA - ST/2010/707";1;0;"1040";"80";"sonda 4";"Havrda J.";"NPÚ Praha";"2010";"L";0;"vs-no";;;;;;;"B"
"P1/PRAHA - ST/2010/718";1;0;"190";"81";"sonda U";"Havrda J.";"NPÚ Praha";"2010";"B";0;"novove";;;;;;;"B"
